Marque,Model,Année,Kilométrage,Code Postal,Prix
PORSCHE 911 TYPE 991,(991) 3.4 350 CARRERA PDK,2015,168 950 km,59,74 100 €
RENAULT MEGANE 3 COUPE RS,III (3) COUPE 2.0 T 275 RS S&S TROPHY,2013,11 277 km,92,30 430 €
AUDI A6 (5E GENERATION) AVANT,V AVANT 40 TDI 204 S LINE S TRONIC,2017,63 209 km,57,41 390 €
VOLVO XC60 (2E GENERATION),II D4 190 ADBLUE INSCRIPTION LUXE GEARTRONIC 8,2021,80 039 km,95,48 270 €
OPEL CORSA 5,V 1.4 90 EDITION 5P,2018,23 632 km,27,11 740 €
PORSCHE MACAN,3.0 V6 GTS,2017,52 059 km,27,79 800 €
AUDI Q3 (2E GENERATION) SPORTBACK,II SPORTBACK 35 TDI 150 S LINE S TRONIC,2023,1 584 km,69,61 170 €
FERRARI GTC4,V12 690CH LUSSO 6.0,2016,44 555 km,06,252 160 €
OPEL CROSSLAND X,BVA INNOVATION 1.5 120CV,2020,54 498 km,28,17 600 €
CITROEN JUMPY 2,II (2) FOURGON TOLE 29 L1H1 HDI 125 FAP BUSINESS,2015,172 030 km,24,17 480 €
VOLKSWAGEN TOUAREG,(2) 3.0 V6 TDI 240 FAP CARAT EDITION TIPTRONIC,2012,164 300 km,24,26 390 €
VOLKSWAGEN GOLF SPORTSVAN,(2) 1.6 TDI 115 BLUEMOTION TECHNOLOGY CONNECT DSG7,2018,88 588 km,55,25 140 €
MINI MINI 3 5P,III 1.5 COOPER 136 EDITION SHOREDITCH 5P,2015,33 853 km,35,25 970 €
PEUGEOT 208 AFFAIRE,(2) 1.6 BLUEHDI 75 PACK CLIM NAV,2017,101 125 km,69,11 230 €
MAZDA MX5 (4E GENERATION) ST,IV ST 1.5 SKYACTIV-G 131 DYNAMIQUE,2015,63 936 km,71,23 700 €
DS DS 3 CROSSBACK,1.5 BLUEHDI 130 7CV GRAND CHIC AUTOMATIQUE,2022,13 828 km,24,36 060 €
AUDI A3 (4E GENERATION) SPORTBACK,IV SPORTBACK 40 TFSI E 204 S LINE S TRONIC,2020,38 801 km,30,48 770 €
SEAT ATECA,1.0 TSI 115 S/S URBAN,2019,12 874 km,31,23 920 €
AUDI A5 SPORTBACK (2E GENERATION),II SPORTBACK 3.0 TDI 286 S LINE QUATTRO TIPTRONIC 8 5PL,2019,64 419 km,33,43 580 €
DODGE RAM,1500 5.7 V8 390 HEMI CREW CAB LARAMIE,2020,43 km,69,114 570 €
LAND ROVER RANGE ROVER SPORT 2,3.0 TDV6 249 HSE DYNAMIC AUTO,2017,104 807 km,69,56 560 €
PORSCHE MACAN,3.0 V6 S,2019,54 875 km,27,88 620 €
FORD MUSTANG COUPE,FASTBACK 289 CI V8,1964,79 800 km,24,74 100 €
RENAULT ESPACE 5,V 1.6 DCI 160 TWIN TURBO ENERGY INTENS EDC 5PL,2015,128 095 km,72,22 180 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT 4MOTION DSG7,2017,47 145 km,60,31 480 €
JAGUAR XKR COUPE,COUPE 4.2 V8 SURALIMENTE BVA6,2010,125 810 km,33,57 480 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 115 BLUEMOTION TECHNOLOGY TRENDLINE BUSINESS BV6,2019,59 920 km,35,22 240 €
VOLKSWAGEN TIGUAN,(2) 2.0 TDI 140 BLUEMOTION TECHNOLOGY CARAT,2013,129 972 km,61,19 020 €
OPEL CORSA 5,V 1.4 90 EDITION 129G 3P,2019,62 323 km,69,11 950 €
NISSAN MICRA 5,V 1.0 IG-T 92 MADE IN FRANCE,2022,29 296 km,61,17 480 €
RENAULT TRAFIC 3 COMBI,III COMBI 1.6 DCI 125 ENERGY ZEN L1 8PL,2015,58 488 km,24,29 230 €
MINI COUNTRYMAN 2,II COOPER SD ALL4 EXQUISITE 190 11CV BVA8,2019,30 752 km,78,39 420 €
AUDI A1,(2) 1.4 TDI ULTRA 90 BUSINESS LINE,2015,129 198 km,24,15 990 €
FIAT 500 C (3E GENERATION),III C 42KWH ICONE,2022,11 km,92,32 880 €
FORD ECOSPORT,(2) 1.5 ECOBLUE 125 S&S ST LINE,2019,36 472 km,33,20 980 €
VOLKSWAGEN TOURAN 3,III 2.0 TDI 150 LOUNGE BUSINESS DSG7 7PL,2020,108 737 km,33,29 890 €
MERCEDES GLC COUPE,(2) 400 D AMG LINE 4MATIC,2020,37 968 km,66,86 120 €
PEUGEOT 3008,(2) 1.6 BLUEHDI 120 S&S ALLURE EAT6,2016,140 478 km,61,14 930 €
MINI MINI 2 CABRIOLET,II CABRIOLET 1.6 112 COOPER D,2016,114 490 km,24,14 870 €
MAZDA MX5 (3E GENERATION),III ROADSTER 2.0 160 NISEKO,2009,104 619 km,71,17 860 €
VOLKSWAGEN T-ROC,2.0 TDI 150 R-LINE DSG7,2019,23 125 km,69,41 730 €
OPEL CORSA 6,VI 1.5 DIESEL 100 EDITION BUSINESS 5P,2021,46 107 km,27,17 970 €
FIAT 500 (2E GENERATION),II (2) 1.2 8V 69 LOUNGE,2017,53 372 km,24,12 270 €
JAGUAR XF 2,II 3.0D V6 300 R-SPORT AUTO,2018,33 456 km,84,52 810 €
SEAT IBIZA 5,V 1.0 TSI 95 URBAN,2020,7 832 km,30,17 730 €
CITROEN C3 (3E GENERATION),III 1.2 PURETECH 68 FEEL,2020,38 640 km,24,12 300 €
CITROEN C3 AIRCROSS,1.2 PURETECH 110 S&S SHINE EAT6,2020,9 958 km,47,23 560 €
SKODA KAROQ,1.6 TDI 116 SPORTLINE DSG7,2022,27 793 km,31,36 820 €
AUDI A3 (3E GENERATION),III 1.8 TFSI 180 AMBITION,2013,122 013 km,63,18 810 €
BMW SERIE 3 GT F34,(F34) (2) 318D 136 EXECUTIVE,2018,145 140 km,59,23 350 €
PEUGEOT 5008 (2E GENERATION),II 1.5 BLUEHDI 130 S&S ALLURE EAT8,2018,80 959 km,69,29 850 €
BMW X6 F16,(F16) XDRIVE40D 313 M SPORT BVA8,2016,70 457 km,66,61 890 €
BMW SERIE 2 F23 CABRIOLET,(F23) CABRIOLET 218I 136 M SPORT BVA8,2020,23 334 km,78,33 990 €
PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.6 BLUEHDI 120 S&S ACTIVE BUSINESS EAT6,2019,103 488 km,78,16 560 €
RENAULT CLIO 5,V 1.0 TCE 90 INTENS,2022,12 km,35,21 400 €
RENAULT CAPTUR,(2) 0.9 TCE 90 INTENS,2019,71 234 km,35,14 480 €
PEUGEOT 208,(2) 1.6 BLUEHDI 100 ALLURE BUSINESS 5P,2015,48 691 km,24,13 860 €
MASERATI GHIBLI 3,III 3.0 V6 DIESEL,2015,83 791 km,95,44 440 €
OPEL CORSA 4,IV (2) 1.2 TWINPORT 85 GRAPHITE 3P,2014,89 746 km,36,9 690 €
PEUGEOT 308 (2E GENERATION) SW,II SW 1.6 BLUEHDI 120 S&S ACTIVE BUSINESS,2015,120 791 km,33,13 320 €
CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,2020,8 227 km,24,17 810 €
VOLVO V60 CROSS COUNTRY,D4 190 SUMMUM GEARTRONIC,2015,152 110 km,66,18 750 €
CITROEN GRAND C4 SPACETOURER,1.5 BLUEHDI 130 S&S BVM6 SHINE PACK,2020,14 193 km,47,32 410 €
CITROEN GRAND C4 PICASSO 2,II (2) 2.0 BLUEHDI 150 S&S SHINE EAT6,2018,110 129 km,75,18 960 €
AUDI A3 (2E GENERATION) CABRIOLET,II (3) CABRIOLET 2.0 TDI 140 ATTRACTION,2011,48 648 km,55,16 940 €
VOLVO V60 (2E GENERATION),II D3 150 ADBLUE BUSINESS GEARTRONIC 8,2019,102 274 km,91,27 540 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 190 11CV BLUEMOTION TECHNOLOGY 10CV CARAT EXCLUSIVE 4MOTION DSG7,2020,45 252 km,62,41 890 €
PEUGEOT 3008 (2E GENERATION),II (2) BLUEHDI 130 S&S GT PACK EAT8,2022,11 km,63,40 930 €
PORSCHE 911 TYPE 992 CABRIOLET,(992) CABRIOLET 3.0 450 CARRERA 4S PDK,2019,9 758 km,27,231 930 €
MERCEDES CLASSE A 4,IV 180 AMG LINE 7G-DCT,2020,48 299 km,76,35 710 €
CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL,2021,23 808 km,24,16 860 €
MINI MINI 3 CLUBMAN,III CLUBMAN 1.5 COOPER 136 KENSINGTON BVA7,2017,24 915 km,92,29 820 €
MERCEDES GLC COUPE,250 D FASCINATION 4MATIC 9G-TRONIC,2018,110 250 km,25,42 000 €
VOLKSWAGEN AMAROK,(2) DOUBLE CABINE 3.0 TDI 258 4MOTION 4X4 PERMANENT DUCATI DIAVEL EDITION BVA8,2020,72 653 km,95,62 480 €
VOLKSWAGEN COCCINELLE,(2) 1.4 TSI 150 DESIGN DSG7,2019,50 820 km,24,27 700 €
MINI MINI 3 3P,III 2.0 COOPER S 192,2016,50 262 km,57,20 570 €
BMW SERIE 2 F46 GRAN TOURER,(F46) GRAN TOURER 216D BUSINESS,2016,105 275 km,24,21 120 €
RENAULT SCENIC 4,IV 1.7 BLUE DCI 120 ZEN,2019,56 341 km,28,23 240 €
AUDI Q5 (2E GENERATION),II 3.0 V6 TDI 286 S LINE QUATTRO TIPTRONIC 8,2018,112 308 km,57,48 540 €
NISSAN X-TRAIL 3,III (2) 1.7 DCI 150 ACENTA XTRONIC,2021,21 448 km,47,34 090 €
RENAULT MEGANE 4 RS,IV 1.8 TCE 280 RS EDC,2017,61 936 km,63,39 080 €
MINI MINI 3 5P,III ONE 102 BVA7 5P,2019,39 492 km,31,22 750 €
AUDI A3 (3E GENERATION) SPORTBACK,III (2) SPORTBACK 2.0 TDI 150 BUSINESS LINE,2018,69 588 km,35,21 990 €
CITROEN C3 AIRCROSS,1.5 BLUEHDI 100 S&S SHINE BUSINESS BV6,2019,69 876 km,47,17 490 €
BMW SERIE 2 F22 COUPE M,(F22) COUPE M 235IA 326 XDRIVE,2014,40 000 km,74,35 990 €
PORSCHE 911 TYPE 997,(997) 3.8 355 CARRERA 4S,2005,118 000 km,24,52 900 €
NISSAN QASHQAI 2,II (2) 1.5 DCI 110 BUSINESS EDITION,2018,104 021 km,35,16 190 €
NISSAN QASHQAI 2,II 1.5 DCI 110 ACENTA,2017,55 043 km,24,17 490 €
RENAULT CAPTUR 2,II 1.3 TCE 140 INTENS EDC MY21,2021,10 km,69,26 450 €
MAZDA MX5 (4E GENERATION) ST,IV ST 2.0 SKYACTIV-G 160 SELECTION EDITION SPECIALE,2016,39 680 km,71,23 690 €
PEUGEOT 2008,1.6 E-HDI 92 CROSSWAY,2015,148 160 km,66,8 890 €
PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.5 BLUEHDI 130 S&S ALLURE EAT8,2018,68 322 km,47,19 490 €
AUDI Q3 (2E GENERATION),II 45 TFSI E 245 S LINE S TRONIC,2021,3 798 km,31,56 990 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 100 S&S ALLURE EAT8,2020,2 250 km,33,22 990 €
RENAULT CLIO 4,IV (2) 1.5 DCI 75 BUSINESS,2019,3 458 km,63,13 500 €
LAND ROVER DISCOVERY 5,V TD6 258 HSE LUXURY AUTO,2017,97 036 km,37,48 990 €
VOLKSWAGEN GOLF 8,VIII 1.0 TSI OPF 110 LIFE 1ST BV6,2020,12 930 km,66,22 390 €
BMW X1 F48,(F48) XDRIVE20D XLINE,2017,85 782 km,69,26 490 €
BMW SERIE 1 F20 5 PORTES,(F20) (2) 118I LOUNGE 5P,2019,62 068 km,33,22 360 €
PORSCHE 911 TYPE 991,(991) 3.8 400 CARRERA 4S PDK,2012,62 382 km,51,114 210 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 130 S&S GT EAT8,2021,1 km,42,29 690 €
RENAULT CLIO 3,III 1.6 16V 110 DYNAMIQUE BVA PROACTIVE 5P,2008,99 080 km,11,8 450 €
RENAULT MEGANE 4 ESTATE,IV ESTATE 1.5 DCI 110 ENERGY BUSINESS EDC,2019,44 479 km,45,16 790 €
PEUGEOT 208 (2E GENERATION),II 1.5 BLUEHDI 100 S&S ALLURE BUSINESS,2020,97 836 km,78,16 180 €
PORSCHE 911 TYPE 997,(997) 3.8 355 CARRERA 4S,2008,96 555 km,63,76 130 €
PEUGEOT 208 (2E GENERATION),II 1.2 PURETECH 75 S&S ACTIVE BUSINESS,2021,24 334 km,78,18 800 €
BMW SERIE 1 F20 5 PORTES,(F20) (2) 116D BUSINESS DESIGN,2019,116 939 km,33,19 990 €
AUDI A4 (5E GENERATION) AVANT,V AVANT 2.0 TDI 190 DESIGN LUXE S TRONIC,2018,103 960 km,24,28 130 €
PEUGEOT 208,(2) 1.6 BLUEHDI 100 ALLURE BUSINESS 5P,2015,22 453 km,24,14 290 €
AUDI A4 (5E GENERATION) AVANT,V AVANT 2.0 TDI 150 BUSINESS LINE,2015,115 197 km,24,21 350 €
CITROEN C3 (3E GENERATION),III 1.2 PURETECH 110 S&S SHINE,2017,21 781 km,47,16 330 €
FORD ECOSPORT,(2) 1.0 ECOBOOST 125 TITANIUM,2020,23 014 km,69,19 530 €
BMW SERIE 2 F22 COUPE,(F22) COUPE 220D 190 M SPORT XDRIVE,2016,85 410 km,66,29 120 €
VOLKSWAGEN PASSAT 8 SW,VIII SW 2.0 TDI 150 BLUEMOTION TECHNOLOGY 7CV CONFORTLINE BUSINESS DSG7,2017,78 142 km,78,24 840 €
PORSCHE PANAMERA 2 SPORT TURISMO,II SPORT TURISMO 4 E-HYBRID,2020,1 398 km,69,164 680 €
PEUGEOT 3008 (2E GENERATION),II (2) BLUEHDI 130 S&S GT PACK EAT8,2022,11 km,45,42 820 €
FERRARI FF,V12 4RM,2012,82 320 km,33,155 560 €
KIA CEED 3,III 1.0 T-GDI 100 ISG MOTION,2022,12 km,33,20 580 €
VOLKSWAGEN TOURAN 3,III 1.6 TDI 115 BLUEMOTION TECHNOLOGY CONFORTLINE DSG7 7PL,2016,126 862 km,63,20 320 €
OPEL CORSA 6,VI 1.2 TURBO 100 GS LINE 5P,2019,40 934 km,27,19 950 €
SKODA OCTAVIA 4 COMBI RS,IV COMBI 1.4 TSI PHEV IV 245 RS DSG6E,2022,17 464 km,33,49 630 €
PORSCHE 911,CARRERA 4S 450 CV PDK,2020,17 541 km,67,180 990 €
CUPRA FORMENTOR,1.5 TSI 150CH DSG7 V,2023,12 km,69,41 850 €
RENAULT CLIO 4,IV 1.5 DCI 90 ENERGY INTENS,2016,50 179 km,35,15 290 €
SEAT ATECA,1.6 TDI 115 ECOMOTIVE S&S STYLE,2020,24 513 km,55,23 900 €
PEUGEOT 3008,(2) 1.6 BLUEHDI 120 S&S ACTIVE,2015,65 638 km,36,21 180 €
PEUGEOT 2008,(2) 1.6 BLUEHDI 100 S&S ALLURE BUSINESS,2019,59 395 km,47,19 090 €
VOLKSWAGEN TIGUAN 2,II (2) 1.5 TSI 150 8CV R-LINE DSG7,2020,3 369 km,95,53 530 €
FIAT 500 X,1.4 MULTIAIR 140 CROSS 4X2,2018,82 702 km,78,16 080 €
BMW SERIE 3 G20,(G20) 320DA XDRIVE 190 BUSINESS DESIGN,2018,42 336 km,35,38 130 €
CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S SHINE BUSINESS,2017,44 247 km,47,19 420 €
CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 110 S&S SHINE PACK BV6,2020,13 890 km,24,19 060 €
RENAULT CLIO 4,IV (2) 0.9 TCE 75 TREND,2018,27 585 km,10,12 530 €
DACIA LOGAN 2,II (2) 0.9 TCE 90 LAUREATE,2016,64 863 km,69,12 900 €
PEUGEOT 208,(2) 1.2 PURETECH 110 S&S GT LINE 5P,2015,66 415 km,77,14 190 €
BMW SERIE 1 F40,(F40) 118I 140 M SPORT DKG7,2020,17 904 km,74,33 460 €
VOLKSWAGEN TIGUAN,(2) 2.0 TDI 140 BLUEMOTION TECHNOLOGY SPORTLINE 4MOTION DSG7,2014,188 669 km,77,16 500 €
RENAULT TRAFIC 3,III (2) CABINE APPROFONDIE GRAND CONFORT L2H1 1200 ENERGY DCI 145 2PL,2021,1 km,42,42 430 €
FIAT 500 (2E GENERATION),II (2) HYBRID 1.0 BSG 70 RED,2022,12 km,92,21 640 €
MERCEDES GLC COUPE,(2) 220 D AMG LINE LAUNCH EDITION 4MATIC,2018,42 347 km,76,68 650 €
CITROEN C3 (2E GENERATION),II (2) 1.2 PURETECH 82 99G CONFORT BUSINESS,2018,36 956 km,78,15 480 €
CITROEN C5 AIRCROSS,1.5 BLUEHDI 130 S&S 7CV SHINE EAT8,2022,1 km,42,36 500 €
AUDI TT 3 S,III COUPE 2.0 TFSI 310 QUATTRO S TRONIC,2016,49 560 km,74,45 900 €
RENAULT CAPTUR,(2) 0.9 TCE 90 INTENS,2020,16 927 km,69,20 000 €
BMW X2 F39,(F39) SDRIVE18I BUSINESS DESIGN,2019,97 928 km,57,29 150 €
FORD GRAND C-MAX 2,II (2) 1.5 TDCI 120 S&S BUSINESS NAV POWERSHIFT,2019,53 466 km,28,19 330 €
PORSCHE 911 TYPE 992 CABRIOLET,(992) CABRIOLET 3.0 450 CARRERA 4S,2019,4 270 km,27,229 230 €
AUDI A4 (5E GENERATION) AVANT,V AVANT 2.0 TDI 150 DESIGN S TRONIC,2016,76 348 km,84,29 980 €
RENAULT TRAFIC 3,III FOURGON GRAND CONFORT L1H1 1200 ENERGY DCI 125 E6,2017,94 340 km,91,19 330 €
AUDI Q5,2.0 TDI 170 DPF S LINE QUATTRO,2009,110 519 km,55,22 600 €
BMW X2 F39,(F39) SDRIVE18IA 7CV M SPORT DKG7,2019,45 177 km,74,36 060 €
RENAULT KADJAR,(2) 1.3 TCE 160 FAP INTENS EDC,2022,6 659 km,28,29 260 €
AUDI A6 (5E GENERATION) AVANT,V AVANT 40 TDI 204 S TRONIC,2020,25 584 km,01,67 520 €
NISSAN NOTE 2,II 1.5 DCI 90 N-CONNECTA FAMILY,2015,126 822 km,28,11 090 €
CITROEN C4 CACTUS,1.6 BLUEHDI 100 S&S FEEL BUSINESS ETG6,2018,58 066 km,28,15 510 €
CITROEN C3 (3E GENERATION),III (2) 1.2 PURETECH 83 S&S FEEL PACK,2020,17 728 km,24,17 340 €
AUDI A4 (5E GENERATION) AVANT,V (2) AVANT 40 TDI 190 S LINE S TRONIC,2018,96 679 km,57,35 070 €
VOLKSWAGEN T-ROC,1.0 TSI 110 ACTIVE,2022,22 385 km,69,29 010 €
BMW SERIE 5 G30,(G30) 520D 190 LOUNGE,2017,166 644 km,95,29 020 €
CITROEN C4 PICASSO 2,II 1.2 PURETECH 130 S&S EXCLUSIVE BV6,2017,84 067 km,16,18 700 €
BMW X3 G01,(G01) XDRIVE20DA 190 M SPORT,2019,45 803 km,57,46 550 €
LAND ROVER RANGE ROVER EVOQUE,(2) TD4 180 SE,2018,84 850 km,38,30 460 €
MERCEDES GLA,200 CDI INSPIRATION,2013,102 306 km,66,20 390 €
BMW SERIE 3 E92 COUPE,(E92) (2) COUPE 325DA 204 SPORT DESIGN,2009,175 558 km,95,20 700 €
CITROEN C3 (3E GENERATION),III 1.6 BLUEHDI 100 S&S SHINE BUSINESS,2018,22 948 km,78,17 260 €
PEUGEOT 308 (2E GENERATION) SW,II (2) SW 1.6 BLUEHDI 100 S&S ACTIVE BUSINESS,2017,130 074 km,28,14 510 €
MERCEDES VITO,(2) 2.1 114 CDI COMPACT BVA7,2018,113 400 km,24,27 970 €
PORSCHE TAYCAN,4S BATTERIE PERFORMANCE PLUS,2021,2 640 km,69,151 270 €
MINI MINI 3 5P,III COOPER 136 FINITION BASIC BVA7 5P,2020,16 684 km,77,26 160 €
RENAULT CAPTUR,(2) 0.9 TCE 90 INTENS,2017,69 273 km,69,14 080 €
PEUGEOT 308 (3E GENERATION) SW,SW 1.2 130CV ACTIVE PACK,2020,7 380 km,33,24 470 €
FIAT 500 X,1.4 MULTIAIR 140 CROSS 4X2,2016,83 995 km,74,15 940 €
AUDI A5 SPORTBACK (2E GENERATION),II SPORTBACK 2.0 TFSI 190 DESIGN 5PL,2016,18 266 km,37,35 380 €
OPEL CORSA 5,V 1.4 90 ENJOY 5P,2018,12 478 km,72,14 820 €
PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S ALLURE PACK,2020,35 km,69,30 130 €
LAND ROVER RANGE ROVER 4,IV 4.4 SDV8 VOGUE,2012,168 603 km,37,55 640 €
BMW SERIE 3 F31 TOURING,(F31) (2) TOURING 318D 150 BUSINESS BVA8,2015,169 561 km,95,16 630 €
PEUGEOT 308 (2E GENERATION) SW,II SW 1.6 BLUEHDI 120 S&S ALLURE,2018,170 769 km,10,13 510 €
BMW SERIE 2 F45 ACTIVE TOURER,(F45) (2) ACTIVE TOURER 216D LOUNGE DKG7,2018,84 823 km,55,25 600 €
OPEL GRANDLAND X,1.2 TURBO 130 ELEGANCE BUSINESS AUTO,2022,7 687 km,84,43 020 €
FORD F150,6.2 V8 SVT RAPTOR,2013,100 320 km,74,67 140 €
VOLKSWAGEN T-CROSS,1.0 TSI 110 ACTIVE,2020,19 716 km,69,26 010 €
RENAULT SCENIC 3,III (2) 1.6 DCI 130 ENERGY FAP BOSE EDITION ECO2 E6,2014,232 083 km,24,5 870 €
MERCEDES SLK,200 KOMPRESSOR,2002,73 500 km,24,10 500 €
HYUNDAI IONIQ,HYBRID EXECUTIVE,2018,62 025 km,78,27 260 €
PEUGEOT 106,(2) OPEN 5P,1997,116 600 km,72,2 630 €
ABARTH 500,1.4 TURBO 16V T-JET 180 CH BVM5 COMPETIZIONE,2020,18 354 km,66,29 040 €
AUDI A7 SPORTBACK 2,II SPORTBACK 50 TDI S LINE QUATTRO TIPTRONIC 8,2019,36 391 km,30,66 370 €
CITROEN SPACETOURER,TAILLE M 100 ELECTRIC 50 KWH SHINE,2019,574 km,84,58 530 €
FORD C-MAX 2,II 1.6 TDCI 115 FAP EDITION,2015,132 051 km,61,11 930 €
PORSCHE 911 TYPE 991 CABRIOLET TURBO,(991) (2) CABRIOLET 3.8 580 TURBO S,2017,57 267 km,95,188 080 €
MINI MINI 3 3P,III ONE D 95 EDITION BLACKFRIARS,2016,81 208 km,24,21 400 €
MINI COUNTRYMAN,COOPER D PACK CHILI BVA,2011,87 360 km,33,20 990 €
RENAULT CAPTUR 2,II 1.3 TCE 140 ZEN EDC MY21,2022,16 km,69,23 730 €
OPEL CORSA 6,VI 1.2 TURBO 130 GS LINE AUTO 5P,2021,13 437 km,72,27 120 €
RENAULT MEGANE 4,IV 1.3 TCE 160 FAP INTENS,2018,33 746 km,63,23 240 €
AUDI A4 ALLROAD (2E GENERATION),II (2) 40 TDI 204 DESIGN QUATTRO S TRONIC,2021,36 720 km,69,53 980 €
ALFA ROMEO STELVIO,2.0 TURBO 200 Q4 STELVIO AT8,2019,47 357 km,24,35 950 €
BMW SERIE 1 F20 5 PORTES,(F20) (2) 116DA 116 BUSINESS DESIGN,2019,65 379 km,57,21 060 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 150 BLUEMOTION TECHNOLOGY CARAT EXCLUSIVE DSG7,2017,33 250 km,69,35 290 €
RENAULT TALISMAN,1.6 DCI 160 ENERGY INITIALE PARIS EDC,2018,54 447 km,78,23 180 €
VOLKSWAGEN TIGUAN 2 ALLSPACE,2.0 TDI 150 CONFORTLINE BV6,2019,29 316 km,55,35 290 €
PORSCHE PANAMERA 2 SPORT TURISMO,II SPORT TURISMO TURBO,2016,100 440 km,77,123 980 €
AUDI Q5 (2E GENERATION),II 40 TDI 190 S LINE QUATTRO S TRONIC 7,2018,74 520 km,57,42 630 €
VOLKSWAGEN POLO 6,VI 1.0 TSI 115 CARAT EXCLUSIVE DSG7,2017,66 538 km,91,23 050 €
BMW SERIE 2 F45 ACTIVE TOURER,(F45) ACTIVE TOURER 216D BUSINESS BVA6,2018,86 386 km,57,23 530 €
JEEP RENEGADE,(2) 1.6 L MULTIJET 120 LIMITED BVR6,2018,30 135 km,37,27 980 €
MERCEDES SLC,250 D FASCINATION 9G-TRONIC,2015,43 380 km,77,39 810 €
VOLVO V40 (2E GENERATION),II (2) T2 122 7CV SIGNATURE EDITION,2020,6 755 km,63,25 180 €
SEAT LEON 3,III 1.6 TDI 110 START/STOP REFERENCE,2017,53 489 km,57,14 940 €
MERCEDES GLA,(2) 180 SPORT EDITION,2018,17 408 km,76,31 520 €
PEUGEOT 3008 (2E GENERATION),II 1.2 PURETECH 130 S&S GT LINE E6,2019,43 013 km,11,33 190 €
PEUGEOT 2008 (2E GENERATION),II 1.2 PURETECH 130 S&S 7CV ALLURE EAT8,2022,1 km,42,29 400 €
MINI MINI 3 CLUBMAN,III CLUBMAN 1.5 COOPER 136 FINITION BUSINESS BVA6,2016,68 137 km,66,19 590 €
NISSAN LEAF 2,II (3) LEAF ELECTRIQUE 40KWH N-CONNECTA,2020,8 220 km,61,27 540 €
RENAULT TALISMAN,1.3 TCE 160 FAP ZEN EDC,2018,41 992 km,91,20 040 €
CITROEN C3 ENTREPRISE (3E GENERATION),III ENTREPRISE 1.6 BLUEHDI 100 S&S FEEL NAV,2017,23 096 km,69,14 020 €
AUDI Q5 (2E GENERATION),II 2.0 TDI 190 DESIGN LUXE QUATTRO,2019,124 958 km,24,37 930 €
MINI MINI 3 5P,III 1.5 136 COOPER 5P,2017,67 857 km,57,16 020 €
MINI MINI 2 CABRIOLET,II CABRIOLET 1.6 122 COOPER,2009,176 944 km,36,11 610 €
AUDI A7 SPORTBACK 2,II SPORTBACK 40 TDI AVUS EXTENDED S TRONIC 7,2018,104 555 km,76,59 880 €
PEUGEOT 3008 (2E GENERATION),II (2) 1.5 BLUEHDI 130 S&S 7CV ALLURE PACK EAT8,2022,12 733 km,11,35 290 €
AUDI Q5 (2E GENERATION),II 2.0 TDI 163 DESIGN LUXE QUATTRO S TRONIC 7,2018,91 327 km,24,42 070 €
AUDI Q3,(2) 1.4 TFSI COD 150 S LINE S TRONIC,2019,68 503 km,78,36 230 €
AUDI A7 SPORTBACK,(2) SPORTBACK 2.0 TFSI 252 AVUS S TRONIC 7,2018,16 478 km,84,45 990 €
PORSCHE 911 TYPE 992,(992) COUPE 3.0 450 CARRERA S PDK8 BVA7,2018,23 482 km,75,174 640 €
FIAT 500 X,(2) 1.0 FIREFLY T T3 120 CITY CROSS,2018,51 913 km,63,17 230 €
MERCEDES GLA,(2) 200 D 7CV INSPIRATION 7G-DCT,2018,69 676 km,66,29 040 €
RENAULT CAPTUR 2,II 1.6 E-TECH HYBRIDE RECHARGEABLE 160 INITIALE PARIS MY21,2020,5 214 km,18,34 720 €
VOLKSWAGEN TIGUAN 2,II 2.0 TDI 190 BLUEMOTION TECHNOLOGY CARAT 4MOTION DSG7,2019,101 818 km,57,34 960 €
DODGE RAM,CREW CAB 1500 5.7 V8 CLASSIC YELLOW SUPER BEE,2020,29 116 km,67,75 280 €
AUDI A4 (5E GENERATION),V 2.0 TFSI ULTRA 190 BUSINESS LINE S TRONIC,2018,70 679 km,78,28 540 €
KIA SPORTAGE 4,IV (2) 1.6 CRDI 115 MHEV ACTIVE 2WD,2022,19 316 km,26,26 730 €
JAGUAR XJS CABRIOLET,CABRIOLET 5.3 V12 BVA,1988,78 373 km,61,37 960 €
FIAT DOBLO 2,II (2) 1.6 MULTIJET 16V 105 DPF LOUNGE MAXI,2017,11 931 km,24,20 280 €
MERCEDES SLK 2,II 200 K BVA,2007,100 483 km,77,15 520 €
